TSE_01	long outgrown
TSE_02	once they missed it nothing
TSE_03	she was quite beside herself with
TSE_04	no man could have lived
TSE_05	mr hayes states the problem
TSE_06	directly he had finished speaking
TSE_07	endeavour to represent to yourself the image
TSE_08	bump went my head against something
TSE_09	to this he replied that as my misfortune
TSE_10	but there is none that can
TSE_11	hans held up a necklace
TSE_12	the crevasses were much firmer than
TSE_13	the moon had risen and was shining
TSE_14	you are not afraid of being left alone mary
TSE_15	once they missed it nothing else would do there was
TSE_16	besides the memory in but which it has
TSE_17	civil education was disappearing and military
TSE_18	that is my history and now you must
TSE_19	my father said i has long been one of your first
TSE_20	he had dressed himself in cool white
